label,text
spam,"Congratulations, you have won a free prize. Claim your cash reward now by clicking this urgent link."
spam,"Limited time offer. Buy cheap meds online and save big today."
spam,"You are selected for a lottery payment. Send your bank details to receive money."
spam,"Act now to get a free gift card. Winner confirmation required immediately."
spam,"Earn money from home with no experience. Guaranteed income and fast payout."
spam,"Your account has been suspended. Verify password and card information now."
spam,"Exclusive deal just for you. Click here for discount coupons and bonus cash."
spam,"Cheap loans approved instantly. No credit check, apply today."
spam,"Final notice: claim your refund before midnight using this secure link."
spam,"Win a brand new phone. Reply with your personal details to qualify."
ham,"Hi Alex, can we move our project meeting to Thursday afternoon?"
ham,"Please find the attached notes from today's budget review."
ham,"Your package is scheduled for delivery tomorrow between 2 and 5 pm."
ham,"Thanks for sending the report. I added comments in the shared document."
ham,"Reminder that the team lunch is next Friday at noon."
ham,"Can you review the latest design draft before our call?"
ham,"The invoice for last month has been processed and approved."
ham,"I will be out of office Monday and back on Tuesday morning."
ham,"Here is the agenda for the client presentation this week."
ham,"Let's schedule a follow up after you finish reading the proposal."
